,t_ArticleName,t_Url,t_DOI,t_PublishedDate,t_SourceTitle,t_Authors,t_Type,t_Keyword1,t_Keyword2,t_ID
334,"â€œâ€˜I have done it and I have got to dieâ€™: Coroners' inquests of abortion deaths in Rhode Island, 1876â€“1938.â€ù",http://www.sciencedirect.com/science/article/pii/S1081602X08000572/pdfft?md5=27585a7ce8f092383ebc3305cbb54ffb&pid=1-s2.0-S1081602X08000572-main.pdf,10.1016/j.hisfam.2008.09.001,12/31/09,The History of the Family,Simone M. Caron,Research article,Hemorrhagic shock,Imaging,143052
335,Postictal MRI abnormalities and seizure-induced brain injury: Notions to be challenged,http://www.sciencedirect.com/science/article/pii/S1525505015000062/pdfft?md5=dcba4eb3451047954281a675ea68d99c&pid=1-s2.0-S1525505015000062-main.pdf,10.1016/j.yebeh.2015.01.001,3/31/15,Epilepsy & Behavior,Eugenio Grillo,Review article,Disseminated intravascular coagulation,Marker,180633
336,Coronary heart disease III. Chronic arrhythmias as influenced by the beck operation,http://www.sciencedirect.com/science/article/pii/0002914959903431/pdfft?md5=c3b03e20826f707af591a8ecf663f3d2&pid=1-s2.0-0002914959903431-main.pdf,10.1016/0002-9149(59)90343-1,5/31/59,The American Journal of Cardiology,Bernard L. Brofman & Jess F. Bond & David S. Leighninger,Research article,Hemorrhagic shock,Potassium,293235
337,Severe soft tissue infections,http://www.sciencedirect.com/science/article/pii/S1041782610000241/pdfft?md5=561950656f9b2d9bd27e9470bc5d1a4d&pid=1-s2.0-S1041782610000241-main.pdf,CANNOT GET ACCESS,3/31/10,Advances in Small Animal Medicine and Surgery,CANNOT GET ACCESS,,Blunt trauma,Risk factors,10581
338,Surgical Management of Complications of Diverticulitis in Patients over 70 Years of Age,http://www.sciencedirect.com/science/article/pii/S0001209208703673/pdfft?md5=3015c997afa4f0aecf9bdf7d83766498&pid=1-s2.0-S0001209208703673-main.pdf,10.1016/S0001-2092(08)70367-3,6/30/69,AORN Journal,William F. Mitty & David Befeler & Carlo Grossi,Research article,Hemorrhagic shock,Pathologic,318385
339,Should the visceral peritoneum be closed over mesh in abdominal sacrocolpopexy?,http://www.sciencedirect.com/science/article/pii/S030121151830037X/pdfft?md5=6e282bf744e98052f1cc3720c68710f9&pid=1-s2.0-S030121151830037X-main.pdf,10.1016/j.ejogrb.2018.01.027,3/31/18,European Journal of Obstetrics & Gynecology and Reproductive Biology,M. Kulhan & N. G. Kulhan & N. Ata & U. A. Nayki & N. Yilmaz,Research article,Blood loss,Neutrophils,18230
340,Esophageal perforation and mediastinitis,http://www.sciencedirect.com/science/article/pii/S0001209207610862/pdfft?md5=6bdee5327666a8ea8f5ec76380c59b78&pid=1-s2.0-S0001209207610862-main.pdf,10.1016/S0001-2092(07)61086-2,6/30/72,AORN Journal,John L. Sawyers,Research article,Blunt trauma,Temperature,132477
341,Hans J. Bremermann: A pioneer in mathematical biology,http://www.sciencedirect.com/science/article/pii/030326479401442A/pdfft?md5=75bc5ea2035078c16bcd7eb791c45d62&pid=1-s2.0-030326479401442A-main.pdf,10.1016/0303-2647(94)01442-A,12/31/95,Biosystems,Russell W. Anderson & Michael Conrad,,Hemorrhagic shock,Pathogenic,312717
342,Spontaneous intramural esophageal perforation,http://www.sciencedirect.com/science/article/pii/S0022522319419211/pdfft?md5=8eaa8b67022817cd2ea18aca9848b759&pid=1-s2.0-S0022522319419211-main.pdf,10.1016/S0022-5223(19)41921-1,3/31/72,The Journal of Thoracic and Cardiovascular Surgery,Donald L. Kelley & M. Kenith Neugebauer & Richard G. Fosburg,Research article,Blunt trauma,White blood cell count,160756
343,"SHWARTZMAN PHENOMENON IN FATAL INFANTILE DIARRHÅ’A DUE TO ESCHERICHIA COLI O-111, B4",http://www.sciencedirect.com/science/article/pii/S0140673654922618/pdfft?md5=25babba11a1cd350e4a2155fec5062c4&pid=1-s2.0-S0140673654922618-main.pdf,10.1016/S0140-6736(54)92261-8,12/11/54,The Lancet,DonaldG. Mckay & GeorgeH. Wahle,Research article,Hemorrhagic shock,Pathologic,318272
344,Nonfatal Sniper Attack of a Pediatric Patient: Prehospital Response in a Regionalized Trauma System,http://www.sciencedirect.com/science/article/pii/S1522840106000218/pdfft?md5=0eadf89a8291d79ced48d589198bbd3b&pid=1-s2.0-S1522840106000218-main.pdf,10.1016/j.cpem.2006.03.002,6/30/06,Clinical Pediatric Emergency Medicine,Joseph L. Wright & Michael G. Holder,Research article,Hemorrhagic shock,(NO),234067
345,Blunt Injury to the Common Iliac Artery,http://www.sciencedirect.com/science/article/pii/S1078588400911183/pdfft?md5=772486c560309929dd828d10a6b0e344&pid=1-s2.0-S1078588400911183-main.pdf,10.1053/ejvs.2000.1118,7/31/00,European Journal of Vascular and Endovascular Surgery,J. J. Tuech & F. Villapadierna & J. D. Singland & X. Papon & M. Vergos,Research article,Blunt trauma,Ultrasound,152950
346,APPENDIX I: BILAG2004 Index Glossary,http://www.sciencedirect.com/science/article/pii/B9780323044349500683/pdfft?md5=a0a2be0b0fcf3bde3cab1625072bad2d&pid=3-s2.0-B9780323044349500683-main.pdf,CANNOT GET ACCESS,12/31/07,Systemic Lupus Erythematosus,CANNOT GET ACCESS,,Blood loss,Neutrophils,20912
347,Visual results and postoperative complications of capsular bag and ciliary sulcus fixation of posterior chamber intraocular lenses in children with traumatic cataracts,http://www.sciencedirect.com/science/article/pii/S0886335099002977/pdfft?md5=718093fa530adf00358ab4c769708d67&pid=1-s2.0-S0886335099002977-main.pdf,10.1016/S0886-3350(99)00297-7,12/31/99,Journal of Cataract & Refractive Surgery,Suresh K Pandey & Jagat Ram & Liliana Werner & Gagandeep S Brar & David J Apple,Research article,Blunt trauma,Ultrasound,156538
348,Professor Volker DÃ¶rges: From Hannover to an Olympian level of Airway Management,http://www.sciencedirect.com/science/article/pii/S2210844017302095/pdfft?md5=86a22078fe0ee66eae48b53b287a324d&pid=1-s2.0-S2210844017302095-main.pdf,10.1016/j.tacc.2017.09.002,10/31/17,Trends in Anaesthesia and Critical Care,Ulrich Braun & Arnd Timmermann,Short communication,Hemorrhagic shock,(NO),230859
349,Systolic Anterior Motion of the Mitral Valve without Asymmetric Septal Hypertrophy,http://www.sciencedirect.com/science/article/pii/S0012369216382770/pdfft?md5=484943e473bd7a84532d385bda989852&pid=1-s2.0-S0012369216382770-main.pdf,10.1378/chest.69.5.694,5/31/76,Chest,Bernadine H. Bulkley & Nicholas J. Fortuin,Research article,Hemorrhagic shock,Diagnosis,33799
350,Are we able to optimize the definition and diagnosis of severe acute respiratory distress syndrome?,http://www.sciencedirect.com/science/article/pii/S2173572712000914/pdfft?md5=490599648272b5d0732cdc535fd084fe&pid=1-s2.0-S2173572712000914-main.pdf,10.1016/j.medine.2012.07.006,7/31/12,Medicina Intensiva (English Edition),B. Cabello & A. W. Thille,Short communication,Hemorrhagic shock,Parameters,305933
351,Discovery of left-sided superior vena cava during central venous catheterization,http://www.sciencedirect.com/science/article/pii/S0007091217396605/pdfft?md5=f7a1880604802f4f936f12fde6da044b&pid=1-s2.0-S0007091217396605-main.pdf,10.1093/bja/81.2.260,8/31/98,British Journal of Anaesthesia,A G Higgs & S Paris & F Potter,Research article,Disseminated intravascular coagulation,Platelet count,300713
352,Is ileoscopy with biopsy worthwhile in patients presenting with symptoms of inflammatory bowel disease?,http://www.sciencedirect.com/science/article/pii/S0002927097000440/pdfft?md5=4b12f527079c6391dc057bba30ad4fe3&pid=1-s2.0-S0002927097000440-main.pdf,10.1016/S0002-9270(97)00044-0,2/28/98,The American Journal of Gastroenterology,K. Geboes & N. Ectors & G. D'Haens & P. Rutgeerts,Research article,Blood loss,Neutrophils,19803
353,Clinically mild infantile encephalopathy associated with excitotoxicity,http://www.sciencedirect.com/science/article/pii/S0022510X1630836X/pdfft?md5=786f432fecee68d12806e92dd52db36e&pid=1-s2.0-S0022510X1630836X-main.pdf,10.1016/j.jns.2016.12.043,2/15/17,Journal of the Neurological Sciences,Nozomi Hirai & Daisuke Yoshimaru & Yoko Moriyama & Takafumi Honda & Jun-ichi Takanashi,Short communication,Hemorrhagic shock,Pathologic,316026
354,Treatment of cancer of the cervix. Shall it be radium or operation?: A collective review of the recent literature,http://www.sciencedirect.com/science/article/pii/S0002937825905352/pdfft?md5=970eb6ceaf350cb84c064ef53a6b17bc&pid=1-s2.0-S0002937825905352-main.pdf,10.1016/S0002-9378(25)90535-2,7/31/25,American Journal of Obstetrics and Gynecology,John Osborn Polak & George W. Phelan,Review article,Hemorrhagic shock,Diagnosis,34545
355,Neurologic Injuries in Hockey,http://www.sciencedirect.com/science/article/pii/S1047965108000922/pdfft?md5=44f8ee9cb70be40ff8b0466933031147&pid=1-s2.0-S1047965108000922-main.pdf,10.1016/j.pmr.2008.10.005,2/28/09,Physical Medicine and Rehabilitation Clinics of North America,Richard A. Wennberg & Howard B. Cohen & Stephanie R. Walker,Review article,Blunt trauma,Risk factors,11299
356,Radioresponse of human astrocytic tumors across grade as a function of acute and chronic irradiation,http://www.sciencedirect.com/science/article/pii/036030169090350S/pdfft?md5=0801e72ef6d0c9cb19ba70e54975f60c&pid=1-s2.0-036030169090350S-main.pdf,10.1016/0360-3016(90)90350-S,12/31/90,International Journal of Radiation Oncology*Biology*Physics,Christopher T. Schultz & Charles R. Geard,Research article,Blunt trauma,Temperature,132526
357,Coexistence of alternative <ce:italic>MLLâ€“SEPT9</ce:italic> fusion transcripts in an acute myeloid leukemia with t(11;17)(q23;q25),http://www.sciencedirect.com/science/article/pii/S0165460809006049/pdfft?md5=20e1dcb08ab28b0903696477d6fa0636&pid=1-s2.0-S0165460809006049-main.pdf,10.1016/j.cancergencyto.2009.10.010,2/28/10,Cancer Genetics and Cytogenetics,Joana Santos & Nuno Cerveira & CecÃ_lia Correia & Susana Lisboa & Manuel R. Teixeira,Short communication,Disseminated intravascular coagulation,Molecular markers,186675
358,Colonization of Libyan civil war casualties with multidrug-resistant bacteria,http://www.sciencedirect.com/science/article/pii/S1198743X14618486/pdfft?md5=c2ffa68a9563460b6174d9f573fc8806&pid=1-s2.0-S1198743X14618486-main.pdf,10.1111/1469-0691.12135,7/31/13,Clinical Microbiology and Infection,K. Koole & P. M. Ellerbroek & R. Lagendijk & L. P. H. Leenen & M. B. Ekkelenkamp,Research article,Blunt trauma,Testing,105878
359,Mapping cumulative impacts on Hong Kong's pink dolphin population,http://www.sciencedirect.com/science/article/pii/S0964569115000393/pdfft?md5=5669f81a049555f3e8de05f4a965fe30&pid=1-s2.0-S0964569115000393-main.pdf,10.1016/j.ocecoaman.2015.02.002,6/30/15,Ocean & Coastal Management,Danielle Marcotte & Samuel K. Hung & SÃ©bastien Caquard,Research article,Blunt trauma,Temperature,132182
360,Reduced Impact of Smoking Status on 30-Day Complication and Readmission Rates After Elective Spinal Fusion (â‰¥3 Levels) for Adult Spine Deformity: A Single Institutional Study of 839 Patients,http://www.sciencedirect.com/science/article/pii/S1878875017312755/pdfft?md5=6da9b04fd56ac091a1f9cd0749b80da3&pid=1-s2.0-S1878875017312755-main.pdf,10.1016/j.wneu.2017.07.174,11/30/17,World Neurosurgery,Aladine A. Elsamadicy & Owoicho Adogwa & Amanda Sergesketter & Victoria D. Vuong & Isaac O. Karikari,Research article,Blood loss,Neutrophils,18888
361,Elective orthopedic surgery for hemophilia patients with inhibitors: new opportunities,http://www.sciencedirect.com/science/article/pii/S0037196303003147/pdfft?md5=d685d4a4c172313abe91308ac828a3c5&pid=1-s2.0-S0037196303003147-main.pdf,10.1053/j.seminhematol.2003.11.020,1/31/04,Seminars in Hematology,E. Carlos Rodriguez-Merchan & J. D Wiedel & T Wallny & H Caviglia & F Querol,Research article,Disseminated intravascular coagulation,(NO),255615
362,Thoracic aortic dissection and rupture in conotruncal cardiac defects: A population-based study,http://www.sciencedirect.com/science/article/pii/S0167527315002995/pdfft?md5=15ca68566967f04608dbea0a5f9846fe&pid=1-s2.0-S0167527315002995-main.pdf,10.1016/j.ijcard.2015.03.061,4/1/15,International Journal of Cardiology,Benjamin P. Frischhertz & Pirouz Shamszad & Claudia Pedroza & Dianna M. Milewicz & Shaine A. Morris,Research article,Blunt trauma,Risk factors,10102
363,<ce:markerÂ name=podcstÂ alt=PodcastÂ altimg-small=podcst_s.svgÂ altimg=podcst_o.svg></ce:marker>Pediatric Out-of-Hospital Traumatic Cardiopulmonary Arrest After Traffic Accidents and Termination of Resuscitation,http://www.sciencedirect.com/science/article/pii/S0196064419304482/pdfft?md5=e49c7134534cfb5eab1e2fd625ef14c8&pid=1-s2.0-S0196064419304482-main.pdf,10.1016/j.annemergmed.2019.05.036,1/31/20,Annals of Emergency Medicine,Keita Shibahashi & Kazuhiro Sugiyama & Yuichi Hamabe,Research article,Blunt trauma,Testing,105996
364,Cataracts in children,http://www.sciencedirect.com/science/article/pii/S0886335005000659/pdfft?md5=e3a42d1c2442ae00d6554a0f3c272ccc&pid=1-s2.0-S0886335005000659-main.pdf,10.1016/j.jcrs.2005.01.012,4/30/05,Journal of Cataract & Refractive Surgery,Charlotta ZetterstrÃ¶m & Anna Lundvall & Maria Kugelberg,Research article,Blunt trauma,Ultrasound,157339
365,Simultaneous intrauterine and extrauterine pregnancy,http://www.sciencedirect.com/science/article/pii/S0002937848903573/pdfft?md5=8542915c9c3fe399255979257e3cf512&pid=1-s2.0-S0002937848903573-main.pdf,10.1016/S0002-9378(48)90357-3,12/31/48,American Journal of Obstetrics and Gynecology,Robert W. DeVoe & Joseph Hyde Pratt,Research article,Blood loss,Neutrophils,23031
366,Congenital ptosis repair with a frontalis silicon sling: comparison between Fox's single pentagon technique and a modified Crawford double triangle technique,http://www.sciencedirect.com/science/article/pii/S1091853117300617/pdfft?md5=fc16f4ec19514e3d1bc967ad667f0188&pid=1-s2.0-S1091853117300617-main.pdf,10.1016/j.jaapos.2017.05.029,10/31/17,Journal of American Association for Pediatric Ophthalmology and Strabismus,Anuj Mehta & Prerna Garg & Mayuresh Naik & Anju Kumari,Research article,Blunt trauma,Testing,105373
367,Digital periarterial sympathectomy for ischaemic digital pain and ulcers,http://www.sciencedirect.com/science/article/pii/026676819190007B/pdfft?md5=44c3d8a370fa87be09c4e682af70d0d1&pid=1-s2.0-026676819190007B-main.pdf,10.1016/0266-7681(91)90007-B,11/30/91,The Journal of Hand Surgery: British & European Volume,T. A. El-Gammal & W. F. Blair,Research article,Blunt trauma,Temperature,131690
368,"Homicidal deaths In Dammam, Kingdom of Saudi Arabia",http://www.sciencedirect.com/science/article/pii/S2090536X11000517/pdfft?md5=7b23b5cb0b805191b95f2c914ff16326&pid=1-s2.0-S2090536X11000517-main.pdf,10.1016/j.ejfs.2011.08.004,12/31/11,Egyptian Journal of Forensic Sciences,Mohammed Madadin & Mohamed Eldosary & Salah Almoghaniem & Ahmed Yasser Hafez & Salah Tubaigy,Research article,Blunt trauma,Testing,106449
369,"Consciousness, crosstalk, and the mereological fallacy: An evolutionary perspective",http://www.sciencedirect.com/science/article/pii/S1571064512000954/pdfft?md5=eb890c5562e3686865787defc28a4c3f&pid=1-s2.0-S1571064512000954-main.pdf,10.1016/j.plrev.2012.08.002,12/31/12,Physics of Life Reviews,Rodrick Wallace,Review article,Blood loss,Neutrophils,22797
370,"Inhibitory effects of glycopyrronium, formoterol, and budesonide on coronavirus HCoV-229E replication and cytokine production by primary cultures of human nasal and tracheal epithelial cells",http://www.sciencedirect.com/science/article/pii/S2212534520300058/pdfft?md5=92d0403916f0ea159e750c7cb04ff33f&pid=1-s2.0-S2212534520300058-main.pdf,10.1016/j.resinv.2019.12.005,2/21/20,Respiratory Investigation,Mutsuo Yamaya & Hidekazu Nishimura & Xue Deng & Mitsuru Sugawara & Tetsuaki Kawase,Research article,Disseminated intravascular coagulation,Imaging,38294
371,Pulmonary Vein Injury Through Repetitive Clip Friction: An Unusual Cause of Hemothorax,http://www.sciencedirect.com/science/article/pii/S0003497597013349/pdfft?md5=109f75e1fde085145fd0fe94ab0768f7&pid=1-s2.0-S0003497597013349-main.pdf,10.1016/S0003-4975(97)01334-9,2/28/98,The Annals of Thoracic Surgery,Horia SÄ±Ì‚rbu & Bernhard Herse & Thomas Busch & Harald Dalichau,Research article,Hemorrhagic shock,(NO),234573
372,Cineangiocardiography in <em>hemorrhagic</em> <em>shock</em>,http://www.sciencedirect.com/science/article/pii/0002870365900517/pdfft?md5=294347d49d764197399b05431799686d&pid=1-s2.0-0002870365900517-main.pdf,10.1016/0002-8703(65)90051-7,2/28/65,American Heart Journal,A. M. Martin & D. B. Hackel & Madison S. Spach & M. P. Capp & E. Mikat,Short communication,Hemorrhagic shock,Pathologic,315688
373,Endocapsular ring approach to the subluxed cataractous lens,http://www.sciencedirect.com/science/article/pii/S0886335013801265/pdfft?md5=626dc4dc082854dda4cdbaf305b3ac88&pid=1-s2.0-S0886335013801265-main.pdf,10.1016/S0886-3350(13)80126-5,5/31/95,Journal of Cataract & Refractive Surgery,Robert J. Cionni & Robert H. Osher,Research article,Blunt trauma,Sodium,24805
374,Male-enriched transcription of genes encoding ASPs and Kunitz-type protease inhibitors in <ce:italic>Ancylostoma</ce:italic> species,http://www.sciencedirect.com/science/article/pii/S089085080900053X/pdfft?md5=9eebacce1bf2490b084d31b3054d5cd7&pid=1-s2.0-S089085080900053X-main.pdf,10.1016/j.mcp.2009.07.004,12/31/09,Molecular and Cellular Probes,Ana FlÃ¡via D. V. Costa & Robin B. Gasser & Silvia R. C. Dias & Ã‰lida M. L. Rabelo,Research article,Blood loss,Neutrophils,21304
375,The Pathogenesis of Canalicular Laceration,http://www.sciencedirect.com/science/article/pii/S0161642091321481/pdfft?md5=3df45d0fe9155cc868adaaff348f87b2&pid=1-s2.0-S0161642091321481-main.pdf,10.1016/S0161-6420(91)32148-1,8/31/91,Ophthalmology,Allan E. Wulc & Joe F. Arterberry,Research article,Blunt trauma,Testing,104543
376,Corpus callosotomy versus vagus nerve stimulation for atonic seizures and drop attacks: A systematic review,http://www.sciencedirect.com/science/article/pii/S1525505015003303/pdfft?md5=0ba539e68e2071f21ff02aa692a032d1&pid=1-s2.0-S1525505015003303-main.pdf,10.1016/j.yebeh.2015.06.001,10/31/15,Epilepsy & Behavior,John D. Rolston & Dario J. Englot & Doris D. Wang & Paul A. Garcia & Edward F. Chang,Review article,Disseminated intravascular coagulation,Imaging,38935
377,Pediatric canalicular tear repairsâ€”revisiting the pigtail probe,http://www.sciencedirect.com/science/article/pii/S1091853108001584/pdfft?md5=f882e0a31c0d7db056fa136407054eff&pid=1-s2.0-S1091853108001584-main.pdf,10.1016/j.jaapos.2008.05.006,10/31/08,Journal of American Association for Pediatric Ophthalmology and Strabismus,Brian J. Forbes & William R. Katowitz & Gil Binenbaum,Short communication,Blunt trauma,Testing,103785
378,Notice from the Southern Thoracic Surcical Association,http://www.sciencedirect.com/science/article/pii/S0003497510650746/pdfft?md5=788edf5a2b7ae5c685148815b7c77adc&pid=1-s2.0-S0003497510650746-main.pdf,10.1016/S0003-4975(10)65074-6,6/30/71,The Annals of Thoracic Surgery,James W. Brooks,,Hemorrhagic shock,Parameters,308919
379,â€˜The bigger they comeâ€_â€™: the relationship between body mass index and severity of ankle fractures,http://www.sciencedirect.com/science/article/pii/S0020138396001362/pdfft?md5=5324acec216456b82e80e169e6e62bbc&pid=1-s2.0-S0020138396001362-main.pdf,10.1016/S0020-1383(96)00136-2,12/31/96,Injury,L. A. Spaine & S. R. Bollen,Short communication,Blunt trauma,Testing,107483
380,Multiple Myeloma and Sick Sinus syndrome,http://www.sciencedirect.com/science/article/pii/S0012369215411341/pdfft?md5=e00620f4ef1a9fe3bfd5432cd614af31&pid=1-s2.0-S0012369215411341-main.pdf,10.1378/chest.87.4.555a,4/30/85,Chest,Jun Sasaki & Taketoshi Kodama & Kikuo Arakawa,Short communication,Disseminated intravascular coagulation,IgA,66096
381,Acute thrombosis of Starr-Edwards aortic prosthesis,http://www.sciencedirect.com/science/article/pii/S0022522319361975/pdfft?md5=8d5be1e314f9765e86e1985700807789&pid=1-s2.0-S0022522319361975-main.pdf,10.1016/S0022-5223(19)36197-5,11/30/87,The Journal of Thoracic and Cardiovascular Surgery,Cumaraswamy Sivathasan & Chao Tzee Cheng & Tan Ngoh Chuan,Short communication,Blunt trauma,Temperature,131418
382,Noteworthy References,http://www.sciencedirect.com/science/article/pii/S0001209208709967/pdfft?md5=b2fba8d9e25a69cc0597d532eaf84021&pid=1-s2.0-S0001209208709967-main.pdf,10.1016/S0001-2092(08)70996-7,1/31/69,AORN Journal,CANNOT GET ACCESS,,Blunt trauma,Sodium,25467
383,Unassisted childbirth or homicide â€“ Different appraisals of severe injuries in a newborn,http://www.sciencedirect.com/science/article/pii/S134462230900042X/pdfft?md5=af874cc2423e1e0b74b4aa6a83e61ab2&pid=1-s2.0-S134462230900042X-main.pdf,10.1016/j.legalmed.2009.01.038,4/30/09,Legal Medicine,Iris Gehb & Christian Rittner & Klaus PÃ_schel,Research article,Blunt trauma,Testing,103675
384,BLOODBORNE PATHOGEN TRANSMISSION IN HEALTH CARE WORKERS: Risks and Prevention Strategies,http://www.sciencedirect.com/science/article/pii/S0891552005703597/pdfft?md5=9161ba42ade2246aa45175de22d3f69b&pid=1-s2.0-S0891552005703597-main.pdf,10.1016/S0891-5520(05)70359-7,6/1/97,Infectious Disease Clinics of North America,Denise M. Cardo & David M. Bell,Research article,Blood loss,Neutrophils,21773
385,Vaginal delivery following cesarean section,http://www.sciencedirect.com/science/article/pii/0002937853901550/pdfft?md5=f54b1c61e929e4824590575dabfe8643&pid=1-s2.0-0002937853901550-main.pdf,10.1016/0002-9378(53)90155-0,12/31/53,American Journal of Obstetrics and Gynecology,J. R. Harris,Research article,Hemorrhagic shock,Diagnosis,34499
386,An evaluation of maternal death studies,http://www.sciencedirect.com/science/article/pii/0002937858908159/pdfft?md5=f4b6aa75afcc97f0e86b701f474d43de&pid=1-s2.0-0002937858908159-main.pdf,10.1016/0002-9378(58)90815-9,5/31/58,American Journal of Obstetrics and Gynecology,Douglas Dalziel,Research article,Hemorrhagic shock,Hemoglobin,95151
387,Sarcoma of the uterus,http://www.sciencedirect.com/science/article/pii/0002937854902008/pdfft?md5=b0abc55f908d13a76d6abacffb29fd25&pid=1-s2.0-0002937854902008-main.pdf,10.1016/0002-9378(54)90200-8,1/31/54,American Journal of Obstetrics and Gynecology,Gerald S. Williams,Research article,Hemorrhagic shock,Pathologic,318291
388,URETHROSCOPIC REALIGNMENT OF RUPTURED BULBAR URETHRA,http://www.sciencedirect.com/science/article/pii/S0022534705670243/pdfft?md5=51888031ae02424c13aa5d3eeee5e251&pid=1-s2.0-S0022534705670243-main.pdf,10.1016/S0022-5347(05)67024-3,11/30/00,The Journal of Urology,SUN YING-HAO & X. U. CHUAN-LIANG & GAO XU & LIAO GUO-QIANG & HOU JIAN-GUO,Research article,Blunt trauma,Testing,107186
389,Comparison of standard immunosuppression with adjuvant antilymphoblast globulin in primary cadaver kidney transplant survival,http://www.sciencedirect.com/science/article/pii/0090429582905015/pdfft?md5=946cef961536810d532a5b38a9a94201&pid=1-s2.0-0090429582905015-main.pdf,10.1016/0090-4295(82)90501-5,3/31/82,Urology,John M. Barry & Elizabeth Frankus & Douglas J. Norman & William M. Bennett,Research article,Disseminated intravascular coagulation,Platelet count,300530
390,Baseline and genotoxic compound induced gene expression profiles in HepG2 and HepaRG compared to primary human hepatocytes,http://www.sciencedirect.com/science/article/pii/S0887233313001884/pdfft?md5=662683b082f00adb059d606e3126396b&pid=1-s2.0-S0887233313001884-main.pdf,10.1016/j.tiv.2013.07.010,10/31/13,Toxicology in Vitro,M. J. A. Jetten & J. C. S. Kleinjans & S. M. Claessen & C. ChesnÃ© & J. H. M. van Delft,Research article,Blunt trauma,Testing,106996
391,Phacoemulsification of a nucleus in the vitreous cavity,http://www.sciencedirect.com/science/article/pii/S0886335097800685/pdfft?md5=173c655a4119692d666285fc7301a106&pid=1-s2.0-S0886335097800685-main.pdf,10.1016/S0886-3350(97)80068-5,9/30/97,Journal of Cataract & Refractive Surgery,Jens RÃ¶ver,Research article,Blunt trauma,Ultrasound,156203
392,Knowledge Assessment and Preparation for the Certified Emergency Nurses Examination,http://www.sciencedirect.com/science/article/pii/S0099176711002091/pdfft?md5=c926078cfb049c1978fba33eab8b89dc&pid=1-s2.0-S0099176711002091-main.pdf,10.1016/j.jen.2011.04.019,7/31/11,Journal of Emergency Nursing,Carrie A. McCoy,Short communication,Blunt trauma,Temperature,130416
393,Esophageal Perforation Management Using a Multidisciplinary Minimally Invasive Treatment Algorithm,http://www.sciencedirect.com/science/article/pii/S1072751514000167/pdfft?md5=713ec499ef34596c8725ae2dcebc311f&pid=1-s2.0-S1072751514000167-main.pdf,10.1016/j.jamcollsurg.2013.12.033,4/30/14,Journal of the American College of Surgeons,Kfir Ben-David & Kevin Behrns & Steven Hochwald & Georgios Rossidis & George Sarosi,Research article,Hemorrhagic shock,(NO),231923
394,Surgery of the aged,http://www.sciencedirect.com/science/article/pii/S0002961034904062/pdfft?md5=42161dd736fa00f3c842f40b6a501348&pid=1-s2.0-S0002961034904062-main.pdf,10.1016/S0002-9610(34)90406-2,5/31/34,The American Journal of Surgery,Fred W. Bailey,Research article,Hemorrhagic shock,Diagnosis,34843
395,Verification and implementation of a modified split Hopkinson pressure bar technique for characterizing biological tissue and soft biosimulant materials under dynamic shear loading,http://www.sciencedirect.com/science/article/pii/S1751616111001561/pdfft?md5=6a64135ba04be9c2be4e81d9fe015b0f&pid=1-s2.0-S1751616111001561-main.pdf,10.1016/j.jmbbm.2011.06.008,11/30/11,Journal of the Mechanical Behavior of Biomedical Materials,M. M. Trexler & A. M. Lennon & A. C. Wickwire & T. P. Harrigan & A. C. Merkle,Research article,Blunt trauma,Ultrasound,157021
396,Intensive care for critically ill obstetric patients,http://www.sciencedirect.com/science/article/pii/S0020729299002003/pdfft?md5=0125ff2c07e970b02bcf05a25313823e&pid=1-s2.0-S0020729299002003-main.pdf,10.1016/S0020-7292(99)00200-3,3/1/00,International Journal of Gynecology & Obstetrics,R Tripathi & A. M Rathore & S Saran,Short communication,Hemorrhagic shock,(NO),231971
397,Ionescu-Shiley Pericardial Xenografts: Follow-up of Up to 6 Years,http://www.sciencedirect.com/science/article/pii/S0003497510625477/pdfft?md5=16f7824943a83b2d429446bef43322d2&pid=1-s2.0-S0003497510625477-main.pdf,10.1016/S0003-4975(10)62547-7,2/28/85,The Annals of Thoracic Surgery,Maurice P. Brais & J. Pierre BÃ©dard & William Goldstein & Arvind Koshal & Wilbert J. Keon,Research article,Blunt trauma,Sodium,25345
398,Intranasal midazolam versus rectal diazepam for the management of canine status epilepticus,http://www.sciencedirect.com/science/article/pii/S1041782618301117/pdfft?md5=3d4602cdb74b50c24504903265c4484c&pid=1-s2.0-S1041782618301117-main.pdf,10.1016/j.asams.2018.07.013,8/31/18,Advances in Small Animal Medicine and Surgery,CANNOT GET ACCESS,,Disseminated intravascular coagulation,(NO),252455
